name,position
Mr. Ghulam Sarwar Khan,Aviation Division
Mr. Murad Saeed,Communications
Mr. Pervez Khattak,Defence
Ms. Zubaida Jalal,Defence Production
Mr. Omar Ayub Khan,Economic Affairs
Mr. Muhammad Hammad Azhar,Energy
Mr. Shafqat Mahmood,"Federal Education, Professional Training, National Heritage and Culture"
Makhdoom Shah Mahmood Hussain Qureshi,Foreign Affairs
Chaudhary Tariq Bashir Cheema,Housing and Works
Dr. Shireen M. Mazari,Human Rights
Makhdoom Khusro Bukhtiar,Industries and Production
Mr. Fawad Ahmed,Information and Broadcasting
Syed Amin Ul Haque,Information Technology & Telecom
Dr. Fehmida Mirza,Inter-Provincial Coordination
Sheikh Rashid Ahmed,Interior
Mr. Ali Amin Khan Gandapur,Kashmir Affairs & Gilgit Baltistan
Dr. Mohammad Farogh Naseem,Law and Justice
Syed Ali Haider Zaidi,Maritime Affairs
Mr. Ijaz Ahmad Shah,Narcotics Control
Syed Fakhar Imam,National Food Security and Research
Mr. Asad Umer,"Planning, Development and Special Initiatives"
Mr. Muhammad Mian Soomro,Privatization
Muhammad Azam Khan Swati,Railways
Mr. Noor-Ul-Haq Qadri,Religious Affairs and Inter-faith Harmony
Syed Shibli Faraz,Science and Technology
Sahibzada Muhammad Mehboob Sultan,States & Frontier Regions
Mr. Moonis Elahi,Water Resources
