item,itemLabel,startDate,endDate
Q6892414,Mohammad Shafiq,1999-10-21,2000-08-14
Q16137544,Iftikhar Hussain Shah,2000-08-14,2005-03-15
Q6399778,Khalilur Rehman,2005-03-15,2006-05-23
Q4724909,Ali Jan Aurakzai,2006-05-24,2008-01-07
Q7114267,Owais Ahmed Ghani,2008-01-07,2011-02-09
Q2357848,Syed Masood Kausar,2011-02-10,2013-02-10
Q4362156,Shaukatullah Khan,2013-02-10,2015-03-25
Q6809885,Mehtab Ahmed Khan Abbasi,2015-04-15,2016-02-08
Q6065852,Iqbal Zafar Jhagra,2016-02-25,2018-08-20
Q42327982,Mushtaq Ahmed Ghani,2018-08-20,2018-09-05
Q17018713,Shah Farman,2018-09-05,
