item,itemLabel,startDate,endDate,sourceDate,psid
Q4790533,Arif Bangash,1996-11-11,1999-08-17,2022-04-27,Q4790533-CD4DB68D-6431-4B67-A689-2BCA01FC6E9D
Q6827663,Miangul Aurangzeb,1999-08-18,1999-10-21,2022-04-27,Q6827663-E98BA158-4D45-41DF-A99A-A73C9714C86B
Q6892414,Mohammad Shafiq,1999-10-21,2000-08-14,2022-04-27,Q6892414-15F030B0-A9AF-49DB-8021-4623E3CAAD92
Q16137544,Iftikhar Hussain Shah,2000-08-14,2005-03-15,,Q16137544-65222dcb-d6c4-4314-b028-ef9fd4b39f1a
Q6399778,Khalilur Rehman,2005-03-15,2006-05-23,2022-04-27,Q6399778-24002C32-182B-471A-9F30-51D42EA57625
Q4724909,Ali Jan Aurakzai,2006-05-24,2008-01-07,2022-04-27,Q4724909-544D85E6-3F15-48E9-BB4E-74BA1A389B4F
Q7114267,Owais Ahmed Ghani,2008-01-07,2011-02-09,,Q7114267-2A5BC4DA-A604-43C4-BA94-FF2EECE27C1F
Q2357848,Syed Masood Kausar,2011-02-10,2013-02-10,2022-04-27,Q2357848-5B45D288-46B4-4499-8251-A35998C41DA5
Q4362156,Shaukatullah Khan,2013-02-10,2015-03-25,2022-04-27,Q4362156-68275AE4-25EF-4EDE-813D-0062FE180988
Q6809885,Mehtab Ahmed Khan Abbasi,2015-04-15,2016-02-08,2022-04-27,Q6809885-411CC8D3-BC2B-47A3-8A57-B10313A376BE
Q6065852,Iqbal Zafar Jhagra,2016-03-04,2018-08-20,,Q6065852-22205749-44b9-3663-cbc3-0d8045286a64
Q42327982,Mushtaq Ahmed Ghani,2018-08-20,2018-09-05,2022-04-27,Q42327982-D4E3768E-BC83-44EB-94E8-04C93FAAF7A7
Q17018713,Shah Farman,2018-09-05,2022-04-16,,Q17018713-FE257E78-AF0F-4D44-8053-33CB0D2DD7D0
