position,title
Q5453140,First Lady
Q6508554,Leader of the Opposition
Q61078567,Leader of the Opposition in the Senate
Q17182553,Director General of Inter-Services Intelligence
Q5096723,Chief Election Commissioner
Q29410430,ambassador to China
Q82713614,ambassador to France
Q100699739,ambassador to Iran
Q82718729,ambassador to Italy
Q82717596,ambassador to the Netherlands
Q82719562,ambassador to Tunisia
Q92212100,ambassador to the United Kingdom
Q7125513,ambassador to the United States
Q30158529,ambassador to Uruguay
Q108737436,High Commissioner to the United Kingdom
Q7169243,Permanent Representative to the United Nations
Q28131360,Senior Justice of the Supreme Court
Q79228130,Justice of the Supreme Court
Q50385075,Leader of the House for the Senate
Q5261086,Deputy Speaker of the National Assembly
Q5468322,Foreign Secretary
Q5097003,Chief of Air Staff
Q5097006,Chief of Army Staff
Q5097033,Chief of Naval Staff
Q97357054,Senior Minister of Punjab
Q28223514,Mayor of Faisalabad
Q28223493,Mayor of Hyderabad
Q6627562,Mayor of Karachi
Q28223500,Mayor of Lahore
Q28223521,Mayor of Multan
Q28223520,Mayor of Rawalpindi
