position,title
Q20760546,Member of the National Assembly of Pakistan
Q93062103,Member of the 12th National Assembly of Pakistan
Q42020037,Member of the 13th National Assembly of Pakistan
Q33512801,Member of the 14th National Assembly of Pakistan
Q55783826,Member of the 15th National Assembly of Pakistan
Q20081441,Senator
Q58873603,Member of the Azad Jammu & Kashmir Legislative Assembly
Q58873596,Member of Provincial Assembly of the Balochistan
Q58873760,Member of the Gilgit-Baltistan Legislative Assembly
Q58873753,Member of Provincial Assembly of the Khyber Pakhtunkhwa
Q51876984,Member of the Provincial Assembly of Sindh
Q55808168,Member of the Provincial Assembly of the Punjab
Q16259300,Member of the Provincial Assembly
