@@,itemlabel,item,startdate,enddate
->,Riaz Hussain->Lt. General Riaz Hussain,Q23620903,1970-07-01,1971-12-25
+++,Ghulam Ali khetran,,1984-11-18,1985-12-30
->,Abdul Qadir Baloch,Q4665594,2003-02-01->2003-01-29,2003-08-11
->,Amanullah Khan Yasinzai->Owais Ahmed Ghani,Q25544281,2008-01-05,2008-02-28
->,Zulfikar Ali Magsi->Nawab Zulfikar Ali Magsi,Q62307,2008-02-28,2013-06-09->2013-06-11
->,Muhammad Khan Achakzai,Q16319320,2013-06-11,2018-09-06->2018-09-05
---,Abdul Qudoos,Q47200338,2018-09-06,2018-10-04
->,Syed Zahoor Ahmad Agha,Q107453141,2021-07-07,2022-04-13->2022-04-18
