region,regionLabel,position,positionLabel,person,personLabel,start,psid
Q200130,Azad Kashmir,Q25548295,Prime Minister of Azad Kashmir,Q111494888,Tanveer Ilyas,2022-04-18,Q111494888-17C068D4-8A64-410E-BAA5-3DD62D65907B
Q163239,Balochistan,Q3695530,Chief Minister of Balochistan,Q47200338,Abdul Qudoos,2021-10-29,Q47200338-73938EF4-AF1E-40D5-ADD7-0741E16D955F
Q200697,Gilgit-Baltistan,Q8135012,Chief Minister of Gilgit-Baltistan,Q101989183,Khalid Khurshid,2020-11-30,Q101989183-1e66f536-45a5-9050-2dc9-e7a9eadbba2b
Q848613,Islamabad Capital Territory,Q28172635,Mayor of Islamabad,Q109752656,Pir Adil Gilani,2020-01-04,Q109752656-a4f41279-4080-7c78-e460-decc8991aa40
Q183314,Khyber Pakhtunkhwa,Q5096852,Chief Minister of Khyber Pakhtunkhwa,Q47376718,Mahmood Khan,2018-08-17,Q47376718-62df62eb-4adf-6c2c-bf5a-3ae9414b9b89
Q4478,Punjab,Q1837955,Chief Minister of Punjab,,,,
Q37211,Sindh,Q3694864,Chief Minister of Sindh,Q26132883,Murad Ali Shah,2018-08-18,Q26132883-5730368d-46a3-2134-65c0-09c9b813d161
