region,regionLabel,person,personLabel
Q163239,Balochistan,Q47200338,Abdul Quddus Bizenjo
Q183314,Khyber Pakhtunkhwa,Q47376718,Mahmood Khan
Q4478,Punjab,Q5646510,Hamza Shahbaz
Q37211,Sindh,Q26132883,Syed Murad Ali Shah
Q200697,Gilgit-Baltistan,Q101989183,Khalid Khurshid
Q200130,Azad Jammu and Kashmir,Q107871987,Abdul Qayyum Khan Niazi
