region,regionLabel,position,positionLabel,person,personLabel,start,psid
Q163239,Balochistan,Q3694903,Governor of Balochistan,Q25544281,Amanullah Khan Yasinzai,2018-10-04,Q25544281-75EB278E-7D52-4801-B63B-35723F22ABDF
Q163239,Balochistan,Q3694903,Governor of Balochistan,Q107453141,Syed Zahoor Ahmad Agha,2021-07-07,Q107453141-57d32a7d-4d90-04a9-a289-0fa03d65b7e3
