item,itemLabel,startDate,endDate,sourceDate,psid
Q40495,Pervez Musharraf,1999-10-12,2002-10-23,,Q40495-AF749828-398B-43E6-BC05-904AF940542E
Q7293697,Rao Sikandar Iqbal,2002-11-23,2007-11-15,,Q7293697-BC10AF99-6CDC-4D3C-9D2B-7505604AC8D2
Q111934640,Salim Abbas Jilani,2007-11-16,2008-03-25,2022-05-10,Q111934640-B66AB44C-F086-442A-92F5-E1D28B1103F1
Q2827449,Ahmad Mukhtar,2008-03-31,2012-06-03,,Q2827449-85e4ec70-ea99-450f-a657-78e7c1f9907e
Q2112316,Naveed Qamar,2012-06-04,2013-03-15,2022-04-25,Q2112316-FF8BB417-FD34-475E-9247-31E6EAC1B678
Q8168180,Mir Hazar Khan Khoso,2013-04-05,2013-06-04,,Q8168180-83c6ed76-4c2e-c282-d5c6-9d681dde4472
Q134068,Nawaz Sharif,2013-06-07,2013-11-27,,Q134068-9D6F83EA-4C64-431D-8679-26C886281D26
Q6401038,Khawaja Muhammad Asif,2013-11-27,2017-07-28,2022-04-25,Q6401038-A9D6B9F5-1AC2-4161-A1BD-7EB9538A6917
Q17198246,Khurram Dastgir Khan,2017-08-04,2018-05-31,2022-04-25,Q17198246-CCB7793F-14E7-4D52-8561-648B5329D5E5
Q5949527,Hussain Haroon,2018-06-05,2018-08-18,2022-04-25,Q5949527-E2702637-D8F5-4F7E-8666-07027697B7F0
Q13579848,Pervez Khattak,2018-08-20,2022-04-10,,Q13579848-A31F6B66-45E5-4D14-A5EA-A7383B9D9B0B
Q6401038,Khawaja Muhammad Asif,2022-04-19,,2022-04-25,Q6401038-EBDF4C29-228B-4482-9FE7-424D88FA6403
