@@,itemlabel,item,startdate,enddate
->,Liaquat Ali Khan,Q295713,1947-08-14->1947-08-15,1951-10-16
+++,Khawaja Nazimuddin,Q369988,1951-10-24,1953-04-17
->,Muhammad Ali Bogra,Q469875,1953-04-17->1953-04-18,1954-10-24
+++,Ayub Khan,Q190071,1954-10-25,1955-08-11
->,Huseyn Shaheed Suhrawardy,Q2046354,1956-09-12->1956-09-13,1957-10-17->1957-10-18
+++,Mumtaz Daultana,Q6935509,1957-10-19,1957-12-18
+++,Feroz Khan Noon,Q1561693,1957-12-19,1958-04-08
+++,Afzal Rahman Khan,Q4690879,1966-10-22,1969-04-05
->,Yahya Khan,Q333981,1969-04-05->1969-04-06,1971-12-20
+++,Zulfikar Ali Bhutto,Q131355,1971-12-24,1977-07-05
+++,Muhammad Zia-ul-Haq,Q200499,1978-01-14,1978-08-27
+++,Mir Ali Ahmed Khan Talpur,Q108170684,1978-08-28,1985-02-26
+++,Muhammad Zia-ul-Haq,Q200499,1985-02-27,1985-03-24
+++,Muhammad Khan Junejo,Q559952,1985-03-25,1988-05-29
+++,Mahmoud Haroon,Q6734346,1988-06-09,1988-12-01
+++,Benazir Bhutto,Q34413,1988-12-04,1990-08-06
+++,Ghous Ali Shah,Q5557492,1991-09-10,1993-07-17
+++,Aftab Shaban Mirani,Q4690427,1993-10-19,1996-11-05
+++,Shahid Hamid,Q16885592,1996-11-06,1997-02-17
+++,Nawaz Sharif,Q134068,1997-02-17,1999-10-12
->,Pervez Musharraf,Q40495,1999-10-12,2002-10-23->2002-11-23
+++,Salim Abbas Jilani,,2007-11-16,2008-03-25
+++,Naveed Qamar,Q2112316,2012-06-04,2013-03-15
->,Nawaz Sharif,Q134068,2013-06-07,2013-11-27->2013-11-26
+++,Khawaja Muhammad Asif,Q6401038,2013-11-27,2017-07-28
+++,Khurram Dastgir Khan,Q17198246,2017-08-04,2018-05-31
+++,Hussain Haroon,Q5949527,2018-06-05,2018-08-18
->,Pervez Khattak,Q13579848,2018-08-20->2018-08-30,NULL->2022-04-10
+++,Khawaja Muhammad Asif,Q6401038,2022-04-19,
