region,regionLabel,position,positionLabel,person,personLabel,start,psid
Q200130,Azad Kashmir,Q69593,President of Azad Kashmir,Q7636704,Sultan Mehmood Chaudhry,2021-08-25,Q7636704-B81E5B00-0D78-43CC-8679-B1B4E596A95C
Q163239,Balochistan,Q3694903,Governor of Balochistan,,,,
Q200697,Gilgit-Baltistan,Q5589654,Governor of Gilgit–Baltistan,,,,
Q183314,Khyber Pakhtunkhwa,Q3695560,Governor of Khyber Pakhtunkhwa,,,,
Q4478,Punjab,Q3695540,"Governor of Punjab, Pakistan",Q111469204,Omar Sarfaraz Cheema,2022-04-03,Q111469204-2FB5A984-5351-4398-9E21-45ACB97657CC
Q37211,Sindh,Q3695002,Governor of Sindh,,,,
