region,regionLabel,person,personLabel,start
,Balochistan,,Jan Mohammad Jamali,2022-04-13
,Khyber Pakhtunkhwa,,Mushtaq Ahmed Ghani,2022-04-11
,Punjab,,Muhammad Baligh Ur Rehman,2022-05-30
,Sindh,,Agha Siraj Durrani,2022-04-18
,Gilgit-Baltistan,,Syed Amjad Ali Zaidi,2022-06-26
,Azad Jammu and Kashmir,,Sultan Mehmood Chaudhry,2021-08-25
