item,itemLabel,startDate,endDate
Q4409050,Abdul Sattar,1999-11-06,2002-06-14
Q3149781,Inam-ul-Haq,2002-06-21,2002-11-23
Q707883,Khurshid Mahmud Kasuri,2002-11-23,2007-11-15
Q3149781,Inam-ul-Haq,2007-11-15,2008-03-24
Q1543422,Shah Mehmood Qureshi,2008-03-31,2011-02-09
Q254122,Hina Rabbani Khar,2011-02-11,2013-03-16
Q8168180,Mir Hazar Khan Khoso,2013-04-04,2013-06-04
Q4058315,Sartaj Aziz,2013-06-07,2017-07-28
Q6401038,Khawaja Muhammad Asif,2017-08-04,2018-04-26
Q17198246,Khurram Dastgir Khan,2018-05-04,2018-06-05
Q5949527,Hussain Haroon,2018-06-05,2018-08-18
Q1543422,Shah Mahmood Qureshi,2018-08-20,2022-04-10
Q244338,Bilawal Bhutto Zardari,2022-04-27,
