@@,itemlabel,item,startdate,enddate
->,Liaquat Ali Khan->Liaqat Ali Khan,Q295713,1947-08-14->1947-08-15,1949-12-27->1947-12-27
+++,Muhammad Zafarullah Khan,Q781138,1947-12-27,1954-10-24
+++,Muhammad Ali Bogra,Q469875,1954-10-24,1955-08-11
+++,Hamidul Huq Choudhury,Q4517248,1955-09-28,1956-09-12
+++,Feroz Khan Noon,Q1561693,1956-09-14,1958-10-07
+++,Manzur Qadir,Q4207395,1958-10-29,1962-06-08
+++,Zulfikar Ali Bhutto,Q131355,1963-01-24,1966-06-30
---,Zulfiqar Ali Bhutto,Q131355,1963-06-15,1966-08-31
+++,Syed Sharifuddin Pirzada,Q2373844,1966-07-20,1968-04-25
->,Mian Arshad Hussain,Q4502515,1968-05-01->1968-04-25,1969-04-04
+++,Zulfikar Ali Bhutto,Q131355,1971-12-20,1977-03-28
+++,Aziz Ahmed,Q4073049,1977-03-30,1977-07-05
+++,Agha Shahi,Q393447,1978-01-14,1982-03-09
->,Sahabzada Yaqub Khan,Q4537102,1982-03-21,1991-03-20->1987-11-01
->,Zain Noorani,Q108454841->Q108444967,1987->1987-11-01,1988->1988-06-09
+++,Sahabzada Yaqub Khan,Q4537102,1988-06-09,1991-03-20
+++,Akram Zaki,Q4701628,1991-04,1991-09-10
+++,Siddiq Khan Kanju,Q7508199,1991-09-10,1993-07-18
+++,Abdul Sattar,Q4409050,1993-07-23,1993-10-19
+++,Asif Ahmad Ali,Q4073055,1993-11-16,1996-11-04
+++,Gohar Ayub Khan,Q4059060,1997-02-25,1998-08-07
+++,Sartaj Aziz,Q4058315,1998-08-07,1999-10-12
+++,Abdul Sattar,Q4409050,1999-11-06,2002-06-14
+++,Inam-ul-Haq,Q3149781,2002-06-21,2002-11-23
+++,Inam-ul-Haq,Q3149781,2007-11-15,2008-03-24
->,Makhdoom Shah Mahmood Hussain Qureshi->Shah Mehmood Qureshi,Q1543422,2008-03-31,2011-02-09
+++,Sartaj Aziz,Q4058315,2013-06-07,2017-07-28
+++,Khawaja Muhammad Asif,Q6401038,2017-08-04,2018-04-26
+++,Khurram Dastgir Khan,Q17198246,2018-05-04,2018-06-05
+++,Hussain Haroon,Q5949527,2018-06-05,2018-08-18
->,Makhdoom Shah Mahmood Hussain Qureshi->Shah Mahmood Qureshi,Q1543422,2018-08-20,2022-04-10
