item,itemLabel,startDate,endDate
Q5557596,Shaikh G.H. Hidayatullah,1947-08-15,1948-10-04
Q20987007,Shaikh Din Muhammad,1948-10-07,1949-11-19
Q6827509,Mian Aminuddin,1949-11-19,1953-05-01
Q25544287,George Baxandall Constantine,1953-05-02,1953-08-12
Q5636777,Habib Ibrahim Rahimtoola,1953-08-12,1954-06-23
Q21192234,Iftikhar Hussain Khan Mamdot,1954-06-24,1955-10-14
Q28536845,Rahman Gul,1970-07-01,1971-12-20
Q6935507,Mumtaz Bhutto,1971-12-24,1972-04-20
Q20810573,Mir Rasool Bux Talpur,1972-04-29,1973-02-14
Q1951764,Begum Ra'ana Liaquat Ali Khan,1973-02-15,1976-02-28
Q21069979,Muhammad Dilawar Khanji,1976-03-01,1977-07-05
Q20984565,Abdul Kadir Shaikh,1977-07-06,1978-09-17
Q18204801,S.M. Abbasi,1978-09-18,1984-04-06
Q53958934,Jahan Dad Khan,1984-04-07,1987-01-04
Q4805891,Ashraf W. Tabani,1987-01-05,1988-06-23
Q373635,Rahimuddin Khan,1988-06-24,1988-09-12
Q7265739,Qadeeruddin Ahmed,1988-09-12,1989-04-18
Q5431558,Fakhruddin G. Ebrahim,1989-04-19,1990-08-06
Q6734346,Mahmoud Haroon,1990-08-06,1993-07-18
Q3695522,Hakeem Saeed,1993-07-19,1994-01-23
Q6734346,Mahmoud Haroon,1994-01-23,1995-05-21
Q14905321,Kamaluddin Azfar,1995-05-22,1997-03-16
Q13211926,Moinuddin Haider,1997-03-17,1999-06-17
Q14257286,Mamnoon Hussain,1999-06-19,1999-10-12
Q4155258,Azim Daudpota,1999-10-25,2000-05-24
Q317624,Muhammad Mian Soomro,2000-05-25,2002-12-26
Q2357861,Ishrat-ul-Ibad Khan,2002-12-27,2016-11-09
Q9332702,Saeeduzzaman Siddiqui,2016-11-11,2017-01-11
Q28584498,Mohammad Zubair,2017-02-08,2018-07-29
Q55819245,Imran Ismail,2018-08-27,2022-04-10
