item,itemLabel,startDate,endDate,sourceDate,psid
Q6935507,Mumtaz Bhutto,1971-12-22,1972-04-20,,Q6935507-6e6c852a-1f45-4af1-8e87-478bc33518c9
Q1951764,Ra'ana Liaquat Ali Khan,1973-02-15,1976-02-28,,Q1951764-2bfb35e8-e9b3-44f3-a033-3ec5166dd7b4
Q21069979,Muhammad Dilawar Khanji,1976-03-01,1977-07-05,,Q21069979-afe5e132-cc0e-4368-ac69-b6eb4bb7376f
Q3695522,Hakim Said,1993-07-19,1994-01-23,,Q3695522-797e8944-4b5d-679d-8294-d025f2887b13
Q14257286,Mamnoon Hussain,1999-06-19,1999-10-12,,Q14257286-baee4058-4000-7cee-8118-37cbdaab24de
Q317624,Muhammad Mian Soomro,2000-05-25,2002-12-26,,Q317624-ADB59B44-7C36-45D1-A8D2-B856B8CFC35A
Q2357861,Ishrat-ul-Ibad Khan,2002-12-27,2016-11-09,,Q2357861-5060529C-30C4-4BA3-8352-F77991EEBA39
Q9332702,Saeeduzzaman Siddiqui,2016-11-11,2017-01-11,,Q9332702-b17f5199-2b3c-4219-b093-22be84439ee9
Q26258459,Agha Siraj Khan Durrani,2017-01-11,2017-02-02,,Q26258459-76c51b93-48f9-3c27-fb09-0e061d2ec9b0
Q28584498,Mohammad Zubair,2017-02-02,2018-08-03,,Q28584498-77cca451-d948-4a48-a259-69df235b625e
Q26258459,Agha Siraj Khan Durrani,2018-08-03,2018-08-27,,Q26258459-062d1b38-438f-a7de-25f0-b200b8e7514e
Q55819245,Imran Ismail,2018-08-27,2022-04-11,,Q55819245-43D3561C-9FA4-44F4-995A-D3559B32CBEF
