@@,itemlabel,item,startdate,enddate
+++,Shaikh G.H. Hidayatullah,Q5557596,1947-08-15,1948-10-04
+++,Shaikh Din Muhammad,Q20987007,1948-10-07,1949-11-19
+++,Mian Aminuddin,Q6827509,1949-11-19,1953-05-01
+++,George Baxandall Constantine,Q25544287,1953-05-02,1953-08-12
+++,Habib Ibrahim Rahimtoola,Q5636777,1953-08-12,1954-06-23
+++,Iftikhar Hussain Khan Mamdot,Q21192234,1954-06-24,1955-10-14
+++,Rahman Gul,Q28536845,1970-07-01,1971-12-20
->,Mumtaz Bhutto,Q6935507,1971-12-22->1971-12-24,1972-04-20
+++,Mir Rasool Bux Talpur,Q20810573,1972-04-29,1973-02-14
->,Ra'ana Liaquat Ali Khan->Begum Ra'ana Liaquat Ali Khan,Q1951764,1973-02-15,1976-02-28
+++,Abdul Kadir Shaikh,Q20984565,1977-07-06,1978-09-17
+++,S.M. Abbasi,Q18204801,1978-09-18,1984-04-06
+++,Jahan Dad Khan,Q53958934,1984-04-07,1987-01-04
+++,Ashraf W. Tabani,Q4805891,1987-01-05,1988-06-23
+++,Rahimuddin Khan,Q373635,1988-06-24,1988-09-12
+++,Qadeeruddin Ahmed,Q7265739,1988-09-12,1989-04-18
+++,Fakhruddin G. Ebrahim,Q5431558,1989-04-19,1990-08-06
+++,Mahmoud Haroon,Q6734346,1990-08-06,1993-07-18
->,Hakim Said->Hakeem Saeed,Q3695522,1993-07-19,1994-01-23
+++,Mahmoud Haroon,Q6734346,1994-01-23,1995-05-21
+++,Kamaluddin Azfar,Q14905321,1995-05-22,1997-03-16
+++,Moinuddin Haider,Q13211926,1997-03-17,1999-06-17
+++,Azim Daudpota,Q4155258,1999-10-25,2000-05-24
---,Agha Siraj Khan Durrani,Q26258459,2017-01-11,2017-02-02
->,Mohammad Zubair,Q28584498,2017-02-02->2017-02-08,2018-08-03->2018-07-29
---,Agha Siraj Khan Durrani,Q26258459,2018-08-03,2018-08-27
->,Imran Ismail,Q55819245,2018-08-27,2022-04-11->2022-04-10
