wanted,position,positionid,from,start,end
Q7089644,Federal Minister for Energy,Q109748969,Q55761250,2021-04-17,2022-04-10
Q8064243,Chief of Naval Staff,Q5097033,Q101071247,2020-10-07,
Q155164,Federal Minister for Narcotics Control,Q109748941,Q16187331,2020-04-06,2020-12-10
Q16727368,Federal Minister for National Food Security and Research,Q109748900,Q5431517,2020-04-06,2022-04-10
Q28514295,Federal Minister of Industries and Production,Q109748708,Q55761250,2020-04-06,2021-04-16
Q16727368,"Federal Minister for Planning, Development and Special Initiatives",Q109748920,Q4803224,2019-11-19,2022-04-10
Q2821412,Federal Minister for Economic Affairs,Q109748787,Q55761250,2019-07-10,2020-04-06
Q16187331,Federal Minister for Science and Technology,Q109748950,Q55761307,2019-04-18,2021-04-14
Q55956174,Federal Minister for Kashmir Affairs and Gilgit Baltistan,Q109748871,Q16730787,2018-10-05,2022-04-10
Q7487755,Federal Minister for Privatization,Q109748932,Q317624,2018-10-05,2022-04-10
Q5679141,Federal Minister for Maritime Affairs,Q109748884,Q19667804,2018-09-11,2022-04-10
Q13217263,Leader of the House for the Senate,Q50385075,Q19662586,2018-08-26,2020-06-04
Q55956174,Federal Minister of Human Rights,Q109748842,Q7498535,2018-08-20,2022-04-10
Q59660346,Federal Minister of Defence,Q5251233,Q13579848,2018-08-20,2022-04-10
Q55956174,Federal Minister for Railways,Q57650391,Q7462429,2018-08-18,2020-12-11
Q56151718,First Lady,Q5453140,Q49201649,2018-08-18,2022-04-10
Q7290648,Speaker of the Provincial Assembly of Punjab,Q96406144,Q2961554,2018-08-16,
Q16887204,Chief Minister of Balochistan,Q3695530,Q47200338,2018-01-13,2018-06-08
Q18205262,Governor of the State Bank,Q3000092,Q35525609,2017-07-07,2019-05-03
Q13217263,Leader of the Opposition in the Senate,Q61078567,Q3490237,2015-03-12,2018-03-11
Q3337363,Chairman of the Senate,Q3297966,Q7299452,2015-03-12,2018-03-12
Q6783841,Permanent Representative to the United Nations,Q7169243,Q6743544,2015-02-06,2019-10-30
Q6967119,Senior Justice of the Supreme Court,Q28131360,Q6166250,2014-07-06,2015-08-16
Q5431558,Chief Election Commissioner,Q5096723,Q7687618,2013-08-17,2013-11-30
Q13139844,Federal Minister for Kashmir Affairs and Gilgit Baltistan,Q109748871,Q5088106,2013-06-13,2017-07-28
Q18044134,Federal Minister of Petroleum and Natural Resources,Q23766516,Q7461686,2013-06-07,2017-07-28
Q5431064,Deputy Speaker of the National Assembly,Q5261086,Q15983338,2013-06-03,
Q7686180,Chief Minister of Khyber Pakhtunkhwa,Q5096852,Q13579848,2013-05-31,2018-05-31
Q15983260,Member of the 14th National Assembly of Pakistan,Q33512801,Q155164,2013-05-11,2018-05-31
Q57811,Prime Minister,Q735575,Q8168180,2013-03-25,2013-06-05
Q57373,First Lady,Q5453140,Q56153243,2012-06-22,2013-03-24
Q7266407,Federal Minister of Information and Broadcasting,Q6866210,Q3318840,2011-02-09,2012-04-18
Q5644647,Federal Minister for Religious Affairs,Q56232386,Q17388811,2010-12-01,2013
Q6149532,Chairman of the Senate,Q3297966,Q317624,2008-09-09,2009-03-11
Q6149532,Chairman of the Senate,Q3297966,Q317624,2008-03-25,2008-08-18
Q6743564,Member of the 13th National Assembly of Pakistan,Q42020037,Q2961554,2008-03-17,2013-05-31
Q5348664,Director General of Inter-Services Intelligence,Q17182553,Q16185620,2007,2008
Q14946768,Governor of the State Bank,Q3000092,Q7487755,2006-12-02,2009-01-01
Q660584,Chairman of the Senate,Q3297966,Q317624,2003-03-23,2007-11-16
Q7694860,Federal Minister for Education,Q6865797,Q8074907,2002-11-24,2007-11-15
Q7487754,Permanent Representative to the United Nations,Q7169243,Q6936649,2002-05-28,2008-07-26
Q3149781,Foreign Secretary,Q5468322,Q7322188,2002,2005
Q5436154,Mayor of Karachi,Q6627562,Q6959673,2001-08-14,2005-05
