wanted,position,positionid,from,start,end
Q108804602,Director General of Inter-Services Intelligence,Q17182553,Q64692216,2019-06-16,2021-10-06
Q16727368,Federal Minister for National Food Security and Research,Q109748900,Q33528842,2018-10-05,2019-11-18
Q17019030,Federal Minister for States and Frontier Regions,Q6865966,Q18815900,2018-08-20,2018-09-06
Q1347631,Federal Minister for Railways,Q57650391,Q7462429,2018-08-18,2020-12-11
Q57587646,Member of the 15th National Assembly of Pakistan,Q55783826,Q4790529,2018-08-13,2018-09-06
Q2985594,Leader of the Opposition in the Senate,Q61078567,Q3490237,2015-03-12,2018-03-11
Q16730156,Senior Justice of the Supreme Court,Q28131360,Q6166250,2014-07-06,2015-08-16
Q7423710,Chief Election Commissioner,Q5096723,Q16730156,2014-07-03,2014-12-04
Q56151718,First Lady,Q5453140,Q15982559,2013-06-05,2017-07-28
Q17022391,Deputy Speaker of the National Assembly,Q5261086,Q15983338,2013-06-03,
Q134068,Federal Minister of Foreign Affairs,Q2332457,Q8168180,2013-04-04,2013-06-04
Q13217263,Leader of the House for the Senate,Q50385075,Q3490237,2012-03-12,2015-03-12
Q7266407,Federal Minister of Information and Broadcasting,Q6866210,Q3318840,2011-02-09,2012-04-18
Q7423711,Federal Minister for Religious Affairs,Q56232386,Q17388811,2010-12-01,2013
Q3337363,Chairman of the Senate,Q3297966,Q3066985,2009-03-12,2012-03-11
Q6149532,Chairman of the Senate,Q3297966,Q317624,2008-03-25,2008-08-18
Q18816140,Member of the 13th National Assembly of Pakistan,Q42020037,Q2961554,2008-03-17,2013-05-31
Q19604939,Member of the National Assembly of Pakistan,Q20760546,Q36489247,2008-03-01,2013-03-01
Q7660434,Governor of the State Bank,Q3000092,Q7487755,2006-12-02,2009-01-01
Q6149532,Chairman of the Senate,Q3297966,Q317624,2003-03-23,2007-11-16
Q3694886,Federal Minister for Education,Q6865797,Q8074907,2002-11-24,2007-11-15
Q6982806,Member of the National Assembly of Pakistan,Q20760546,Q155164,2002-10-10,2007-11-03
Q5949527,Permanent Representative to the United Nations,Q7169243,Q6936649,2002-05-28,2008-07-26
Q16735164,Foreign Secretary,Q5468322,Q7322188,2002,2005
Q7660410,Mayor of Karachi,Q6627562,Q6959673,2001-08-14,2005-05
Q15046268,Federal Minister of Commerce,Q5152430,Q28514295,1999-11-06,2002-11-23
Q16735164,ambassador to China,Q29410430,Q7322188,1999,2002
