@@,itemlabel,item,startdate,enddate
->,Mohammad Ali Jinnah->Muhammad Ali Jinnah,Q160554,1947-08-11,1948-09-11
+++,Tamizuddin Khan,Q6792478,1948-12-14,1954-10-24
+++,Abdul Wahab Khan,Q4665741,1955-08-12,1958-10-07
+++,Tamizuddin Khan,Q6792478,1962-06-11,1963-08-19
+++,Fazlul Chaudhry,Q5439239,1963-11-29,1965-06-12
+++,Abdul Jabbar Khan,Q4665428,1965-06-12,1969-03-25
->,Zulfiqar Ali Bhutto->Zulfikar Ali Bhutto,Q131355,1972-04-14,1972-08-15
->,Fazal Ilahi Chaudhry->Fazal Ilahi,Q888063,1972-08-15,1973-08-13->1973-08-09
+++,Farooq Ali,Q7399622,1973-08-09,1977-03-27
+++,Malik Meraj Khalid,Q982280,1977-03-27,1977-07-05
->,Syed Fakhar Imam->Fakhar Imam,Q5431517,1985-03-22,1986-03-25->1986-05-26
+++,Hamid Nasir,Q5644619,1986-05-31,1988-12-03
+++,Malik Meraj Khalid,Q982280,1988-12-03,1990-11-04
+++,Gohar Ayub,Q4059060,1990-11-04,1993-10-17
+++,Yousaf Raza Gillani,Q152052,1993-10-17,1997-02-16
+++,Elahi Bux Soomro,Q5353143,1997-02-16,2001-08-20
+++,Amir Hussain,Q5088094,2002-11-19,2008-03-19
->,Dr. Fahmida Mirza->Fahmida Mirza,Q2371076,2008-03-19,2013-06-03
+++,Ayaz Sadiq,Q12455771,2013-06-03,2015-08-22
+++,Murtaza Javed Abbasi (Acting),Q15983338,2015-08-24,2015-11-09
+++,Ayaz Sadiq,Q12455771,2015-11-09,2018-08-15
->,Asad Qaiser,Q16734791,2018-08-15,NULL->2022-04-10
+++,Qasim Suri,Q17022391,2022-04-10,2022-04-16
+++,Raja Pervaiz Ashraf,Q57811,2022-04-16,
